dashO,test,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/test_dataset/input.4/test/test.apk,(None, None, None)
dashO,test,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/test_dataset/input.4/test/test.apk,(None, None, None)
dashO-cf-renaming,test,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/test_dataset/input.4/test/test.apk,(None, None, None)
dashO-all,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-cf,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-str-enc,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-renaming,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-cf-renaming,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-str-enc-cf,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-str-enc-renaming,android_apps_plus,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.10/android_apps_plus/android_apps_plus.apk,(None, None, None)
dashO-all,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-cf,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-str-enc,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-renaming,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-cf-renaming,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-str-enc-cf,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-str-enc-renaming,andrototal53,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.100/andrototal53/andrototal53.apk,(None, None, None)
dashO-all,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-cf,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-str-enc,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-renaming,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-cf-renaming,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-str-enc-cf,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-str-enc-renaming,andrototal57,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.104/andrototal57/andrototal57.apk,(None, None, None)
dashO-all,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-cf,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-str-enc,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-renaming,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-cf-renaming,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-str-enc-cf,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-str-enc-renaming,andrototal6,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.107/andrototal6/andrototal6.apk,(None, None, None)
dashO-all,andrototal60,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.108/andrototal60/andrototal60.apk,(None, None, None)
dashO-cf,andrototal60,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.108/andrototal60/andrototal60.apk,(None, None, None)
dashO-str-enc,andrototal60,/Users/Mahmoud/Documents/PhD_projects/Obfuscation/dataset/matteo_malware/input.108/andrototal60/andrototal60.apk,(None, None, None)
